sonu,Level5,10,2
sonu,Level5,9,2
sonu,Level5,8,2
sonu,Level5,7,2
sonu,Level5,6,2
sonu,Level5,5,2
sonu,Level5,4,2
sonu,Level5,3,2
sonu,Level5,2,2
sonu,Level5,1,2
sonu,Level1,3,2
sonu,Level1,2,2
sonu,Level1,1,2
sonu,Level1,3,2
sonu,Level1,2,2
sonu,Level1,1,2
sonu,Level1,3,2
sonu,Level1,2,2
sonu,Level1,1,2
sonu,Level1,hand
sonu,Level1,scrub
sonu,Level1,hand
sonu,Level1,hand
sonu,Level1,hand
sonu,Level1,hand
sonu,Level1,hand
sonu,Level1,metalscrub
sonu,Level1,hand
sonu,Level1,hand
sonu,Level1,hand
sonu,Level1,hand
sonu,Level1,hand
sonu,Level1,hand
sonu,Level1,hand
sonu,Level1,hand
sonu,Level1,hand
sonu,Level1,3,2
sonu,Level1,2,2
sonu,Level1,1,2
sonu,Level1,brownsugar
sonu,Level1,lays
sonu,Level1,oreo
sonu,Level1,fullcreammilk
sonu,Level1,galascrub
sonu,Level1,scotchbrite
sonu,Level1,parleg
sonu,Level1,tonedmilk
